[description:"weather?" entry:"1540606025" modified:"1540607558" status:"pending" tags:"polybar,arch" uuid:"02704bce-fb79-430f-9f06-7010a6e365ba"]
[description:"gmail?" entry:"1540606051" modified:"1540607558" status:"pending" tags:"polybar,arch" uuid:"e517298b-618a-47fb-b4d5-77e740acd89d"]
[description:"drop-down dmenu-like but prettier?" entry:"1540702581" modified:"1540702581" status:"pending" tags:"arch,polybar" uuid:"b2dba1b3-7a55-42e5-b959-06b698f2c22c"]
[description:"implement flag opts for load-colors.sh" entry:"1540746160" modified:"1540746160" status:"pending" tags:"arch" uuid:"b132107a-49cb-44ac-bb8b-04698b515f4b"]
[description:"suspend on lid-close" entry:"1550783863" modified:"1550783863" status:"pending" uuid:"247a7e29-9246-4541-acab-37e2b57f01fe"]
